1,1,25.6
1,2,22.8
1,3,15.2
1,4,20.7
1,5,19.9
1,6,21.2
1,7,21.4
1,8,23.5
1,9,23.7
1,10,26.6
1,11,29.6
1,12,30.3
1,13,30.9
1,14,31.6
1,15,21.5
1,16,18.6
1,17,20
1,18,23.5
1,19,26.7
1,20,29.2
1,21,30.7
1,22,31.1
1,23,25.4
1,24,25.9
1,25,24.7
1,26,24.2
1,27,23.1
1,28,21.7
1,29,23.5
1,30,27.7
1,31,25.4
2,1,26
2,2,27
2,3,27.2
2,4,20.8
2,5,21.7
2,6,20.7
2,7,22.1
2,8,23.5
2,9,22.7
2,10,24.2
2,11,25.3
2,12,23.2
2,13,25.2
2,14,30.4
2,15,31.7
2,16,30.6
2,17,27.7
2,18,28.2
2,19,30
2,20,28.7
2,21,25.5
2,22,25.5
2,23,26.1
2,24,29.8
2,25,32
2,26,34.1
2,27,26.8
2,28,26.8
2,29,25.8
3,1,24
3,2,29.2
3,3,28.3
3,4,27.7
3,5,28.1
3,6,26.8
3,7,27.7
3,8,27.3
3,9,27.9
3,10,28.6
3,11,26
3,12,28.1
3,13,28.6
3,14,27.8
3,15,24.4
3,16,24.4
3,17,23.8
3,18,26
3,19,24.2
3,20,21.1
3,21,20.3
3,22,21.5
3,23,23.6
3,24,25.7
3,25,25.7
3,26,25.8
3,27,26.6
3,28,26.3
3,29,26.2
3,30,19.4
3,31,21.5
4,1,24.3
4,2,25.9
4,3,24.8
4,4,23.6
4,5,24.7
4,6,26.9
4,7,26.8
4,8,25.3
4,9,23.4
4,10,21.1
4,11,22.3
4,12,20.9
4,13,20.5
4,14,20.2
4,15,19.9
4,16,21.3
4,17,19.7
4,18,20.9
4,19,20.9
4,20,22.1
4,21,22.3
4,22,23.3
4,23,18.3
4,24,15.8
4,25,15.5
4,26,17.7
4,27,20.1
4,28,21
4,29,22.2
4,30,22.8
5,1,19.9
5,2,21.4
5,3,18.1
5,4,19.1
5,5,20.6
5,6,21
5,7,22.2
5,8,23.3
5,9,21.7
5,10,17.7
5,11,17
5,12,15.3
5,13,21.2
5,14,21.7
5,15,20
5,16,20.8
5,17,19.4
5,18,19.5
5,19,18.3
5,20,21
5,21,18.7
5,22,20.1
5,23,20.4
5,24,16.3
5,25,18.5
5,26,18.1
5,27,11.1
5,28,8.6
5,29,10.2
5,30,14.4
5,31,14.9
6,1,13.4
6,2,15.4
6,3,15
6,4,14.2
6,5,10.3
6,6,8
6,7,10.9
6,8,15.9
6,9,18.8
6,10,13
6,11,12.3
6,12,11.4
6,13,13
6,14,15.1
6,15,14.3
6,16,15.9
6,17,15
6,18,13.5
6,19,14.7
6,20,8.6
6,21,9
6,22,9.3
6,23,10.6
6,24,11.3
6,25,6.1
6,26,11.1
6,27,2.8
6,28,7.9
6,29,13.1
6,30,11.8
7,1,10.2
7,2,12.3
7,3,14.1
7,4,12.9
7,5,11.4
7,6,6.2
7,7,11.1
7,8,11.8
7,9,10.2
7,10,14.9
7,11,14.4
7,12,15.3
7,13,7.4
7,14,9
7,15,13
7,16,10.1
7,17,15.7
7,18,17.6
7,19,19.4
7,20,19.9
7,21,15.7
7,22,16.6
7,23,12
7,24,6.1
7,25,10.1
7,26,11.6
7,27,11.5
7,28,13.6
7,29,15.2
7,30,15.6
7,31,15.3
8,1,18.4
8,2,17.1
8,3,7.2
8,4,9.7
8,5,11
8,6,12.5
8,7,13.1
8,8,12.4
8,9,13.9
8,10,16.6
8,11,12.6
8,12,13.3
8,13,12.2
8,14,14.4
8,15,14
8,16,16
8,17,14.6
8,18,16.7
8,19,15.7
8,20,11.2
8,21,12.4
8,22,13.8
8,23,13.6
8,24,10
8,25,6.4
8,26,8.5
8,27,9.8
8,28,13.7
8,29,18
8,30,19.2
8,31,15.5
9,1,15.4
9,2,17.9
9,3,10.2
9,4,11.9
9,5,16.2
9,6,17
9,7,16.3
9,8,16.9
9,9,17.4
9,10,14.8
9,11,16.8
9,12,18.7
9,13,16.8
9,14,14.4
9,15,15.9
9,16,11.8
9,17,17.6
9,18,16.8
9,19,12.8
9,20,17.9
9,21,14.6
9,22,11.9
9,23,15.3
9,24,17.6
9,25,13.7
9,26,15.9
9,27,16.5
9,28,17.5
9,29,14.7
9,30,10.4
10,1,14.5
10,2,20.1
10,3,14.7
10,4,14.5
10,5,15.3
10,6,19.2
10,7,21.7
10,8,21.9
10,9,19
10,10,24.2
10,11,13.9
10,12,15.6
10,13,13.1
10,14,14.7
10,15,17.6
10,16,20.4
10,17,16.2
10,18,16.4
10,19,18.6
10,20,19.9
10,21,21.7
10,22,15.5
10,23,14.6
10,24,14.8
10,25,20
10,26,19.9
10,27,23.4
10,28,22.3
10,29,22.4
10,30,22.9
10,31,18.4
11,1,20.4
11,2,18.3
11,3,19.9
11,4,21.8
11,5,23.4
11,6,18.9
11,7,24
11,8,27.4
11,9,21.6
11,10,22.4
11,11,22.9
11,12,24.6
11,13,23.9
11,14,16.2
11,15,18.3
11,16,21.9
11,17,22.8
11,18,25.7
11,19,27.7
11,20,27.4
11,21,26.9
11,22,27
11,23,26.5
11,24,22.9
11,25,22.6
11,26,26.1
11,27,26.4
11,28,25.7
11,29,26.3
11,30,26.1
12,1,27.2
12,2,30.3
12,3,32.6
12,4,31.9
12,5,33.1
12,6,29.1
12,7,24.6
12,8,26.1
12,9,19.8
12,10,24.3
12,11,26
12,12,25
